Date,Day,Country,Population,Latitude,Longitude,cum_case,cum_recovered,cum_deaths,day_case,day_recover,day_deaths,per_case,per_recover,per_deaths,per_in_treatment
05/28/2020,128,Costa Rica,5094114,9.7489,-83.7534,1000,646,10,16,7,0,0.019630499,64.6,1,34.4
05/28/2020,128,Cote d'Ivoire,26378275,7.54,-5.5471,2641,1326,32,85,24,1,0.010012027,50.20825445,1.211662249,48.5800833
05/28/2020,128,Croatia,4105268,45.1,15.2,2245,2051,102,1,4,1,0.054685833,91.35857461,4.543429844,4.097995546
05/28/2020,128,Cuba,11326616,21.521757,-77.781167,1983,1734,82,9,10,0,0.017507436,87.44326778,4.135148764,8.421583459
05/28/2020,128,Cyprus,1207361,35.1264,33.4299,941,784,17,2,190,0,0.077938578,83.31562168,1.806588735,14.87778959
05/28/2020,128,Czechia,10708982,49.8175,15.473,9140,6460,319,54,90,2,0.085348916,70.67833698,3.490153173,25.83150985
05/28/2020,128,Denmark,5792203,56.2639,9.5018,11712,10378,568,32,74,3,0.202202858,88.60997268,4.849726776,6.540300546
05/28/2020,128,Djibouti,988002,11.8251,42.5903,2914,1241,20,217,56,2,0.294938674,42.58750858,0.686341798,56.72614962
05/28/2020,128,Dominica,71991,15.415,-61.371,16,16,0,0,0,0,0.022225,100,0,0
05/28/2020,128,Dominican Republic,10847904,18.7357,-70.1627,16068,8952,485,345,162,11,0.14812078,55.71321882,3.018421708,41.26835947
05/28/2020,128,Ecuador,17643060,-1.8312,-78.1834,38471,18425,3313,368,0,38,0.218051744,47.89321827,8.611681526,43.49510021
05/28/2020,128,Egypt,102334403,26.820553,30.802498,20793,5359,845,1127,154,29,0.02031868,25.77309672,4.063867648,70.16303564
05/28/2020,128,El Salvador,6486201,13.7942,-88.8965,2194,1002,39,85,111,0,0.033825655,45.67000912,1.777575205,52.55241568
05/28/2020,128,Equatorial Guinea,1402985,1.6508,10.2679,1043,165,12,0,0,0,0.074341493,15.81975072,1.150527325,83.02972196
05/28/2020,128,Eritrea,3546427,15.1794,39.7823,39,39,0,0,0,0,0.001099698,100,0,0
05/28/2020,128,Estonia,1326539,58.5953,25.0136,1851,1574,66,11,13,0,0.139536041,85.03511615,3.565640194,11.39924365
05/28/2020,128,Eswatini,1160164,-26.5225,31.4659,279,168,2,7,0,0,0.024048324,60.21505376,0.716845878,39.06810036
05/28/2020,128,Ethiopia,114963583,9.145,40.4897,831,191,7,100,10,1,0.000722838,22.9843562,0.842358604,76.1732852
05/28/2020,128,Fiji,896444,-17.7134,178.065,18,15,0,0,0,0,0.002007934,83.33333333,0,16.66666667
05/28/2020,128,Finland,5540718,61.92411,25.748151,6743,5500,313,51,400,0,0.121699029,81.56606852,4.641850808,13.79208068
05/28/2020,128,France,65273512,46.2276,2.2137,186364,67309,28665,3326,607,66,0.285512445,36.11695392,15.3811895,48.50185658
05/28/2020,128,Gabon,2225728,-0.8037,11.6094,2431,668,14,112,37,0,0.10922269,27.47840395,0.575894694,71.94570136
05/28/2020,128,Gambia,2416664,13.4432,-15.3101,25,19,1,0,0,0,0.001034484,76,4,20
05/28/2020,128,Georgia,3989175,42.3154,43.3569,738,573,12,3,16,0,0.018500066,77.64227642,1.62601626,20.73170732
05/28/2020,128,Germany,83783945,51.165691,10.451526,182196,163360,8470,672,540,42,0.217459324,89.66168302,4.648839711,5.689477266
05/28/2020,128,Ghana,31072945,7.9465,-1.0232,7303,2412,34,0,0,0,0.023502761,33.02752294,0.465562098,66.50691497
05/28/2020,128,Greece,10423056,39.0742,21.8243,2906,1374,175,3,0,2,0.027880499,47.28148658,6.0220234,46.69649002
