Date,Day,Country,Population,Latitude,Longitude,cum_case,cum_recovered,cum_deaths,day_case,day_recover,day_deaths,per_case,per_recover,per_deaths,per_in_treatment
22/01/2020,1,Czechia,10708982,49.8175,15.473,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
22/01/2020,1,Denmark,5792203,56.2639,9.5018,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
22/01/2020,1,Diamond Princess,,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
22/01/2020,1,Djibouti,988002,11.8251,42.5903,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
22/01/2020,1,Dominica,71991,15.415,-61.371,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
22/01/2020,1,Dominican Republic,10847904,18.7357,-70.1627,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
22/01/2020,1,Ecuador,17643060,-1.8312,-78.1834,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
22/01/2020,1,Egypt,102334403,26.820553,30.802498,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
22/01/2020,1,El Salvador,6486201,13.7942,-88.8965,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
22/01/2020,1,Equatorial Guinea,1402985,1.6508,10.2679,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
22/01/2020,1,Eritrea,3546427,15.1794,39.7823,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
22/01/2020,1,Estonia,1326539,58.5953,25.0136,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
22/01/2020,1,Eswatini,1160164,-26.5225,31.4659,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
22/01/2020,1,Ethiopia,114963583,9.145,40.4897,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
22/01/2020,1,Fiji,896444,-17.7134,178.065,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
22/01/2020,1,Finland,5540718,61.92411,25.748151,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
22/01/2020,1,France,65273512,46.2276,2.2137,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
22/01/2020,1,Gabon,2225728,-0.8037,11.6094,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
22/01/2020,1,Gambia,2416664,13.4432,-15.3101,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
22/01/2020,1,Georgia,3989175,42.3154,43.3569,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
22/01/2020,1,Germany,83783945,51.165691,10.451526,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
22/01/2020,1,Ghana,31072945,7.9465,-1.0232,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
22/01/2020,1,Greece,10423056,39.0742,21.8243,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
22/01/2020,1,Grenada,112519,12.1165,-61.679,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
22/01/2020,1,Guatemala,17915567,15.7835,-90.2308,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
22/01/2020,1,Guinea,13132792,9.9456,-9.6966,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
22/01/2020,1,Guinea-Bissau,1967998,11.8037,-15.1804,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
22/01/2020,1,Guyana,786559,4.860416,-58.93018,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
22/01/2020,1,Haiti,11402533,18.9712,-72.2852,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
22/01/2020,1,Holy See,809,41.9029,12.4534,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
22/01/2020,1,Honduras,9904608,15.2,-86.2419,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
22/01/2020,1,Hungary,9660350,47.1625,19.5033,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
22/01/2020,1,Iceland,341250,64.9631,-19.0208,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
22/01/2020,1,India,1380004385,20.593684,78.96288,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
22/01/2020,1,Indonesia,273523621,-0.7893,113.9213,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
22/01/2020,1,Iran,83992953,32.427908,53.688046,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
22/01/2020,1,Iraq,40222503,33.223191,43.679291,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
22/01/2020,1,Ireland,4937796,53.1424,-7.6921,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
22/01/2020,1,Israel,8655541,31.046051,34.851612,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
22/01/2020,1,Italy,60461828,41.87194,12.56738,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
22/01/2020,1,Jamaica,2961161,18.1096,-77.2975,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
22/01/2020,1,Japan,126476458,36.204824,138.252924,2,0,0,2,0,0,1.58132E-06,0,0,100
